ts_code,stock_name,holiday,corr_pre7_dummy,corr_pvalue,corr_pre7_dummy_excess,corr_excess_pvalue,avg_pre7_cum_return_pct,avg_post7_cum_return_pct,avg_pre7_excess_cum_return_pct,avg_post7_excess_cum_return_pct,pre7_excess_t_stat,pre7_excess_pvalue_gt0,post7_excess_t_stat,post7_excess_pvalue_gt0,events
000610.SZ,西安旅游,春节,-0.04544535892870239,0.02782644392229316,-0.04427675573516321,0.03210478593577256,-5.560545433182405,3.972702952440527,-5.092963762624388,2.262734939041328,-1.9004942160531262,0.9550914583293487,1.538933253903975,0.07910184607670308,10
000610.SZ,西安旅游,五一,-0.06301671242923544,0.0022754875972798515,-0.05848207980586789,0.0046299588836216255,-7.852657639747581,-5.045729671444246,-6.736648093580648,-5.0318736618666335,-2.422516529761468,0.9791569514786237,-3.7119010140532267,0.9970299509358095,9
000796.SZ,凯撒旅业,清明,0.009027406160133474,0.6692915837846648,-3.85667686224445e-05,0.9985440997260087,1.3423300193780128,1.885262560657846,-0.28962817291542403,2.506793444416303,-0.1207364205043954,0.5460792328471752,0.7830140418989102,0.2316974093783825,7
000796.SZ,凯撒旅业,中秋,0.008622972389037744,0.6832850820430252,0.006549317005746567,0.7566599843037037,1.3786943068122042,-3.417926460480541,0.7381016693969974,-3.5910794477694736,0.3131047429423819,0.38342017797553846,-0.8423269905817244,0.7809860749640218,6
000796.SZ,凯撒旅业,五一,-0.022593324478433156,0.28502926892039615,-0.013664036818589041,0.5179466122013188,-3.1311529217795826,-11.919348388968807,-1.9127130803613916,-11.1178895855763,-0.5324036983515886,0.6945395908289935,-3.1158029949933415,0.9928403686885117,9
000796.SZ,凯撒旅业,国庆,-0.025301019729769805,0.23120777527313596,-0.037165020530157133,0.07857946891420332,-3.355053307017992,-5.015973182357813,-4.960340172485606,-4.50989483076862,-2.6856946987048036,0.9875139952409641,-1.1946873318292603,0.8686288943022361,10
000796.SZ,凯撒旅业,春节,-0.03141413567123711,0.13710534954889672,-0.034196178154108955,0.10557859997594367,-4.517632946953452,7.723919610887735,-4.838979733247612,6.435334667527749,-1.5569327899566021,0.9182786123672522,1.8742250056481398,0.05151819771933573,8
000796.SZ,凯撒旅业,端午,-0.036143434899186,0.08715393996546061,-0.040233121410676226,0.05686953250643484,-4.8109361892250835,12.389984547710487,-5.250328700767431,10.064360365510257,-2.104413489123165,0.9657670835758647,1.206382955564507,0.13342741020352455,9
002159.SZ,三特索道,清明,0.007286218988016546,0.7191571998227985,-0.00387075809608647,0.8485054825573425,0.9135710869283911,0.30395854810463746,-0.34490415124859647,0.8047559751278924,-0.13977298746629768,0.5538528818088178,0.4642233281951961,0.32742944667667256,9
002159.SZ,三特索道,春节,-0.016680108468941194,0.410375092947085,-0.012412592382466073,0.5401443074778876,-1.7176167647178828,3.7190240091382036,-1.2500350941598657,2.0047681052084365,-0.492296519165703,0.6828524184120914,0.7090421660027075,0.2481268222192492,10
002159.SZ,三特索道,国庆,-0.02059657728332184,0.3093603633901659,-0.03787568891384769,0.06150243890641629,-1.6892294454009122,-4.498623942679802,-3.294516310868526,-3.9925455910906087,-1.7848287399224925,0.9460251498949639,-3.304647891492189,0.9954191252489182,10
002159.SZ,三特索道,端午,-0.021429583495832957,0.29019760144309886,-0.023946810179737012,0.23722023107677248,-2.079515380202235,2.324275531952465,-2.1755375801708743,1.1731632581290812,-1.712513879585657,0.9395220328861797,0.6059430333086921,0.2797612031163723,10
002159.SZ,三特索道,中秋,-0.024294409001350974,0.2304792877898602,-0.03168163427461216,0.11783962034565211,-3.1159207380255034,2.0767536696692197,-3.756513375440711,1.9036006823802876,-2.58727605153589,0.9755008914142048,0.7881631307259549,0.23315350919571728,6
002159.SZ,三特索道,五一,-0.06604062803393151,0.0011034886890089236,-0.06027565900309968,0.0029074391630080462,-6.333743755384695,0.09092721204336288,-5.170532201615787,0.12898213185395097,-2.1462357552616447,0.9697972730120776,0.06287365638995716,0.47570482501471967,10
002707.SZ,众信旅游,中秋,0.002273957527963679,0.9120099014699655,-0.0007492838439894769,0.9709541216581098,0.3901142048951535,-1.996735966021128,-0.25047843252005325,-2.16988895331006,-0.12334015063496487,0.5466788096781565,-1.099644708184652,0.8392041791921395,6
