ts_code,stock_name,best_holiday,best_corr_pre7_dummy,best_avg_pre7_cum_return_pct,best_avg_post7_cum_return_pct,events
300144.SZ,宋城演艺,春节,0.03168107433630257,3.1897520901221057,3.104834539071105,10
603755.SH,日辰股份,中秋,0.03132457425782299,6.952687522714002,2.125347986132897,4
601579.SH,会稽山,五一,0.030803114358666568,4.551810948396268,2.704910000784614,7
002726.SZ,龙大美食,五一,0.030682204393675278,3.513822829084831,-0.1713331176631734,7
000729.SZ,燕京啤酒,国庆,0.03055381827403997,2.913127517814298,-2.8710652934102936,10
605339.SH,南侨食品,国庆,0.030532577620568806,3.8802218343720485,-0.31079680429630263,5
000524.SZ,岭南控股,中秋,0.03026870219104778,5.240381167026148,-0.708290702869054,6
600597.SH,光明乳业,国庆,0.02996131419355802,2.4839643922173096,-2.2654912393691387,10
600809.SH,山西汾酒,国庆,0.029704723782927656,4.717338759080149,-2.666000568904706,10
600779.SH,水井坊,国庆,0.028951121459130463,4.402391551683866,-3.1745227929616826,10
002557.SZ,洽洽食品,国庆,0.02878984472188964,3.2909417224563335,-0.22958731095201843,10
600702.SH,舍得酒业,国庆,0.028382585548960004,4.6144248303904964,-0.2941158489770202,10
300973.SZ,立高食品,五一,0.027949072170635483,12.235738978116496,4.102384138989235,4
603079.SH,圣达生物,清明,0.026736742342964324,4.518781276419775,-0.9115945162142566,10
000505.SZ,京粮控股,清明,0.02651977947176652,3.384026362131175,2.358024994245682,14
603198.SH,迎驾贡酒,国庆,0.02560769321698372,3.7299345503190837,-2.966672930287561,10
000869.SZ,张裕Ａ,国庆,0.025480761086294743,2.116552562546397,-2.995443616018757,10
002847.SZ,盐津铺子,国庆,0.025475873085583654,4.735526301776497,-2.426611480843407,9
603237.SH,五芳斋,清明,0.024905693351688546,3.2237543382034253,-3.998554787802503,3
600073.SH,光明肉业,清明,0.02475342586156167,1.7880067167582112,-0.7579216923704969,14
600191.SH,华资实业,清明,0.024600591507657487,3.7472084803878127,-2.334806730456615,14
002461.SZ,珠江啤酒,清明,0.024478158456946956,2.220037222777,0.9987679129853594,14
600197.SH,伊力特,端午,0.024070282748827627,3.101204012760493,1.6963077684578387,8
600696.SH,*ST岩石,国庆,0.021887210573539567,3.6783939070533065,-1.307585423605926,10
603589.SH,口子窖,五一,0.021861941292557474,2.7765865266092717,-0.29162708585004193,7
605338.SH,巴比食品,国庆,0.021756914373688614,3.808017157703101,21.291803586535096,6
600185.SH,珠免集团,国庆,0.021284059129751978,3.3559801663796414,-0.9173273874220799,10
000972.SZ,*ST中基,中秋,0.020818231867639193,2.72741847335965,-0.7315536893640227,6
600559.SH,老白干酒,国庆,0.020640498441115117,2.9738871623817675,-3.952315860733233,9
000610.SZ,西安旅游,中秋,0.020564582836361978,3.6448743673319424,-0.8147487538615348,6
600543.SH,莫高股份,中秋,0.020433129986719166,3.051845003166546,-1.0332186460400978,6
002661.SZ,克明食品,清明,0.02010018172242064,1.6196455804664547,0.47967011244143704,13
002570.SZ,贝因美,国庆,0.02003892779254335,2.596639691733535,-1.3712157363579824,10
002582.SZ,好想你,国庆,0.0200162913127435,3.1864984943207033,-1.656750864675356,10
600873.SH,梅花生物,清明,0.019794327647935015,1.5345152057327358,-0.16987227694373597,12
600186.SH,莲花控股,春节,0.019668237467459725,2.3602725712231862,8.485137321015022,10
605108.SH,同庆楼,国庆,0.019606057866820473,3.7887673516741565,-3.4900334003110696,6
002646.SZ,天佑德酒,国庆,0.01957347212896223,2.271031590244726,-3.4977235302372827,10
600238.SH,*ST椰岛,端午,0.01953948215000334,4.071928109064011,-0.6763104987372607,8
002515.SZ,金字火腿,国庆,0.019460712255953846,2.089627687740319,1.7139632192074348,10
002991.SZ,甘源食品,国庆,0.019313731392654465,3.1367175013089716,-3.0883144748588207,6
